codigo_1,codigo_2,municipio,score_nombre,score_direccion,telefono_igual,decision
01-14-0146-46,01-14-0228-46,AMATITLAN,1.0,0.7561,True,pendiente_revision_manual
01-14-0196-46,01-14-0228-46,AMATITLAN,1.0,0.9841,True,pendiente_revision_manual
01-14-0053-46,01-14-0054-46,AMATITLAN,1.0,0.4,False,pendiente_revision_manual
01-14-0053-46,01-14-0085-46,AMATITLAN,1.0,0.3922,False,pendiente_revision_manual
01-14-0053-46,01-14-0169-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0053-46,01-14-0194-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0053-46,01-14-6827-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0053-46,01-14-6828-46,AMATITLAN,1.0,0.8235,True,pendiente_revision_manual
01-14-0053-46,01-14-6829-46,AMATITLAN,1.0,0.8235,True,pendiente_revision_manual
01-14-0053-46,01-14-6830-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0053-46,01-14-7163-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0054-46,01-14-0085-46,AMATITLAN,1.0,0.4242,False,pendiente_revision_manual
01-14-0054-46,01-14-0156-46,AMATITLAN,0.931,0.6154,True,pendiente_revision_manual
01-14-0054-46,01-14-0169-46,AMATITLAN,1.0,0.4,False,pendiente_revision_manual
01-14-0054-46,01-14-0194-46,AMATITLAN,1.0,0.4,False,pendiente_revision_manual
01-14-0054-46,01-14-6827-46,AMATITLAN,1.0,0.4,False,pendiente_revision_manual
01-14-0054-46,01-14-6828-46,AMATITLAN,1.0,0.3673,False,pendiente_revision_manual
01-14-0054-46,01-14-6829-46,AMATITLAN,1.0,0.3673,False,pendiente_revision_manual
01-14-0054-46,01-14-6830-46,AMATITLAN,1.0,0.4,False,pendiente_revision_manual
01-14-0054-46,01-14-7163-46,AMATITLAN,1.0,0.4,False,pendiente_revision_manual
01-14-0070-46,01-14-3055-46,AMATITLAN,1.0,0.9275,True,pendiente_revision_manual
01-14-0085-46,01-14-0169-46,AMATITLAN,1.0,0.3529,False,pendiente_revision_manual
01-14-0085-46,01-14-0194-46,AMATITLAN,1.0,0.3529,False,pendiente_revision_manual
01-14-0085-46,01-14-6827-46,AMATITLAN,1.0,0.3529,False,pendiente_revision_manual
01-14-0085-46,01-14-6828-46,AMATITLAN,1.0,0.2222,False,pendiente_revision_manual
01-14-0085-46,01-14-6829-46,AMATITLAN,1.0,0.2222,False,pendiente_revision_manual
01-14-0085-46,01-14-6830-46,AMATITLAN,1.0,0.3529,False,pendiente_revision_manual
01-14-0085-46,01-14-7163-46,AMATITLAN,1.0,0.3529,False,pendiente_revision_manual
01-14-0156-46,01-14-0157-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0157-46,01-14-0169-46,AMATITLAN,0.931,0.2697,True,pendiente_revision_manual
01-14-0157-46,01-14-6827-46,AMATITLAN,0.931,0.2697,True,pendiente_revision_manual
01-14-0169-46,01-14-0194-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0169-46,01-14-6827-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0169-46,01-14-6828-46,AMATITLAN,1.0,0.8235,False,pendiente_revision_manual
01-14-0169-46,01-14-6829-46,AMATITLAN,1.0,0.8235,False,pendiente_revision_manual
01-14-0169-46,01-14-6830-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0169-46,01-14-7163-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0194-46,01-14-6827-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0194-46,01-14-6828-46,AMATITLAN,1.0,0.8235,False,pendiente_revision_manual
01-14-0194-46,01-14-6829-46,AMATITLAN,1.0,0.8235,False,pendiente_revision_manual
01-14-0194-46,01-14-6830-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0194-46,01-14-7163-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-6827-46,01-14-6828-46,AMATITLAN,1.0,0.8235,False,pendiente_revision_manual
01-14-6827-46,01-14-6829-46,AMATITLAN,1.0,0.8235,False,pendiente_revision_manual
01-14-6827-46,01-14-6830-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-6827-46,01-14-7163-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-6828-46,01-14-6829-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-6828-46,01-14-6830-46,AMATITLAN,1.0,0.8235,False,pendiente_revision_manual
01-14-6828-46,01-14-7163-46,AMATITLAN,1.0,0.8235,True,pendiente_revision_manual
01-14-6829-46,01-14-6830-46,AMATITLAN,1.0,0.8235,False,pendiente_revision_manual
01-14-6829-46,01-14-7163-46,AMATITLAN,1.0,0.8235,True,pendiente_revision_manual
01-14-6830-46,01-14-7163-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-8578-46,01-14-8579-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-8578-46,01-14-8580-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-8579-46,01-14-8580-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0081-46,01-14-0084-46,AMATITLAN,1.0,0.9841,True,pendiente_revision_manual
01-14-0081-46,01-14-8918-46,AMATITLAN,1.0,0.625,False,pendiente_revision_manual
01-14-0084-46,01-14-8918-46,AMATITLAN,1.0,0.6349,False,pendiente_revision_manual
01-14-0076-46,01-14-0082-46,AMATITLAN,1.0,0.6207,False,pendiente_revision_manual
01-14-0076-46,01-14-0083-46,AMATITLAN,1.0,0.6207,False,pendiente_revision_manual
01-14-0082-46,01-14-0083-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0114-46,01-14-0115-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0114-46,01-14-0141-46,AMATITLAN,1.0,0.9744,False,pendiente_revision_manual
01-14-0114-46,01-14-8050-46,AMATITLAN,1.0,0.8451,False,pendiente_revision_manual
01-14-0114-46,01-14-8051-46,AMATITLAN,1.0,0.9744,False,pendiente_revision_manual
01-14-0115-46,01-14-0141-46,AMATITLAN,1.0,0.9744,False,pendiente_revision_manual
01-14-0115-46,01-14-8050-46,AMATITLAN,1.0,0.8451,False,pendiente_revision_manual
01-14-0115-46,01-14-8051-46,AMATITLAN,1.0,0.9744,False,pendiente_revision_manual
01-14-0122-46,01-14-0173-46,AMATITLAN,1.0,0.4821,True,pendiente_revision_manual
01-14-0141-46,01-14-8050-46,AMATITLAN,1.0,0.8696,False,pendiente_revision_manual
01-14-0141-46,01-14-8051-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0190-46,01-14-1921-46,AMATITLAN,1.0,0.8696,True,pendiente_revision_manual
01-14-0190-46,01-14-2692-46,AMATITLAN,1.0,0.963,True,pendiente_revision_manual
01-14-0190-46,01-14-2796-46,AMATITLAN,1.0,0.7143,True,pendiente_revision_manual
01-14-0190-46,01-14-7084-46,AMATITLAN,1.0,0.7907,True,pendiente_revision_manual
01-14-1921-46,01-14-2692-46,AMATITLAN,1.0,0.8333,True,pendiente_revision_manual
01-14-1921-46,01-14-2796-46,AMATITLAN,1.0,0.8,True,pendiente_revision_manual
01-14-1921-46,01-14-7084-46,AMATITLAN,1.0,0.9189,True,pendiente_revision_manual
01-14-2692-46,01-14-2796-46,AMATITLAN,1.0,0.7241,True,pendiente_revision_manual
01-14-2692-46,01-14-7084-46,AMATITLAN,1.0,0.7556,True,pendiente_revision_manual
01-14-2796-46,01-14-7084-46,AMATITLAN,1.0,0.7234,True,pendiente_revision_manual
01-14-8050-46,01-14-8051-46,AMATITLAN,1.0,0.8696,False,pendiente_revision_manual
01-14-0158-46,01-14-0168-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0158-46,01-14-0192-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0168-46,01-14-0192-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
03-01-0158-46,03-01-0164-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0226-46,03-01-0227-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0226-46,03-01-0228-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0227-46,03-01-0228-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0096-46,03-01-1201-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0153-46,03-01-0154-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0153-46,03-01-0155-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0154-46,03-01-0155-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-1100-46,03-01-1303-46,ANTIGUA GUATEMALA,1.0,0.3721,False,pendiente_revision_manual
03-01-0108-46,03-01-0148-46,ANTIGUA GUATEMALA,1.0,0.9434,False,pendiente_revision_manual
03-01-0210-46,03-01-0947-46,ANTIGUA GUATEMALA,1.0,0.2202,True,pendiente_revision_manual
03-01-0210-46,03-01-1403-46,ANTIGUA GUATEMALA,1.0,0.2202,True,pendiente_revision_manual
03-01-0947-46,03-01-1403-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0138-46,03-01-0278-46,ANTIGUA GUATEMALA,1.0,0.9565,False,pendiente_revision_manual
03-01-0199-46,03-01-0201-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0199-46,03-01-0253-46,ANTIGUA GUATEMALA,1.0,0.8197,True,pendiente_revision_manual
03-01-0201-46,03-01-0253-46,ANTIGUA GUATEMALA,1.0,0.8197,True,pendiente_revision_manual
03-01-0296-46,03-01-0299-46,ANTIGUA GUATEMALA,1.0,1.0,False,pendiente_revision_manual
03-01-0189-46,03-01-0284-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0102-46,03-01-0134-46,ANTIGUA GUATEMALA,1.0,1.0,False,pendiente_revision_manual
